# gunzip -c exp/tri3a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Dec  7 01:48:50 UTC 2020
#
At utterance begin, SIL accounts for 98.9% of phone occurrences, with duration (median, mean, 95-percentile) is (27,34.1,77) frames.
At utterance begin, nonsilence accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (23,25.0,41) frames.
At utterance begin, DH_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (23,25.1,37) frames.
At utterance end, SIL accounts for 99.3% of phone occurrences, with duration (median, mean, 95-percentile) is (20,24.0,49) frames.
At utterance end, nonsilence accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.6,26) frames.
Overall, nonsilence accounts for 89.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,19) frames.
Overall, SIL accounts for 10.4% of phone occurrences, with duration (median, mean, 95-percentile) is (38,54.5,160) frames.
Overall, AH_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, IH_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
Overall, N_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
Overall, D_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, T_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,16) frames.
Overall, DH_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, AH_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, R_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,20) frames.
Overall, EH_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,16) frames.
Overall, Z_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,21) frames.
Overall, N_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,18) frames.
Overall, T_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.9,39) frames.
Overall, HH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,14) frames.
Overall, W_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, L_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,16) frames.
Overall, IY_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,23) frames.
Overall, AE_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,19) frames.
Overall, AH_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,13) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.3,20) frames.
Overall, S_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,16) frames.
Overall, IH_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, AA_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,18) frames.
